Los Angeles, California January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194512,53.3,-3.4
194612,53.0,-3.7
194712,53.7,-3.0
194812,52.0,-4.7
194912,52.3,-4.4
195012,52.8,-3.9
195112,53.1,-3.6
195212,52.6,-4.1
195312,52.9,-3.8
195412,54.3,-2.4
195512,53.2,-3.5
195612,54.0,-2.7
195712,55.9,-0.8
195812,56.8,0.1
195912,57.4,0.7
196012,55.6,-1.1
196112,55.7,-1.0
196212,55.3,-1.4
196312,56.7,0.0
196412,54.4,-2.3
196512,55.5,-1.2
196612,55.6,-1.1
196712,56.1,-0.6
196812,56.1,-0.6
196912,56.7,0.0
197012,56.2,-0.5
197112,55.1,-1.6
197212,56.3,-0.4
197312,55.0,-1.7
197412,55.6,-1.1
197512,54.5,-2.2
197612,56.6,-0.1
197712,56.2,-0.5
197812,56.5,-0.2
197912,55.8,-0.9
198012,56.2,-0.5
198112,57.6,0.9
198212,55.9,-0.8
198312,57.1,0.4
198412,57.3,0.6
198512,55.6,-1.1
198612,56.2,-0.5
198712,55.7,-1.0
198812,55.7,-1.0
198912,55.6,-1.1
199012,56.2,-0.5
199112,55.7,-1.0
199212,57.8,1.1
199312,56.9,0.2
199412,56.1,-0.6
199512,56.6,-0.1
199612,57.0,0.3
199712,58.3,1.6
199812,56.1,-0.6
199912,54.9,-1.8
200012,56.3,-0.4
200112,55.4,-1.3
200212,55.3,-1.4
200312,56.3,-0.4
200412,56.4,-0.3
200512,56.1,-0.6
200612,56.6,-0.1
200712,56.1,-0.6
200812,56.9,0.2
200912,56.0,-0.7
201012,55.5,-1.2
201112,55.1,-1.6
201212,56.8,0.1
201312,56.7,0.0
201412,59.1,2.4
201512,58.4,1.7
201612,57.8,1.1
201712,57.8,1.1
201812,58.3,1.6
201912,57.1,0.4
202012,57.3,0.6
202112,55.8,-0.9
202212,57.4,0.7
202312,55.8,-0.9
