Los Angeles, California January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194512,66.7,-3.0
194612,66.7,-3.0
194712,67.8,-1.9
194812,65.9,-3.8
194912,65.8,-3.9
195012,65.5,-4.2
195112,66.0,-3.7
195212,65.5,-4.2
195312,67.9,-1.8
195412,66.7,-3.0
195512,65.4,-4.3
195612,67.2,-2.5
195712,66.3,-3.4
195812,69.0,-0.7
195912,69.2,-0.5
196012,66.6,-3.1
196112,67.3,-2.4
196212,65.3,-4.4
196312,68.5,-1.2
196412,65.7,-4.0
196512,66.4,-3.3
196612,67.7,-2.0
196712,68.0,-1.7
196812,67.0,-2.7
196912,66.1,-3.6
197012,67.2,-2.5
197112,66.5,-3.2
197212,67.7,-2.0
197312,66.7,-3.0
197412,67.0,-2.7
197512,66.4,-3.3
197612,69.1,-0.6
197712,68.0,-1.7
197812,68.1,-1.6
197912,68.2,-1.5
198012,68.0,-1.7
198112,69.0,-0.7
198212,67.5,-2.2
198312,68.3,-1.4
198412,69.7,0.0
198512,67.6,-2.1
198612,69.4,-0.3
198712,68.0,-1.7
198812,68.5,-1.2
198912,69.0,-0.7
199012,69.5,-0.2
199112,67.6,-2.1
199212,70.1,0.4
199312,69.4,-0.3
199412,69.3,-0.4
199512,68.4,-1.3
199612,69.6,-0.1
199712,70.6,0.9
199812,68.1,-1.6
199912,68.0,-1.7
200012,69.3,-0.4
200112,67.6,-2.1
200212,68.5,-1.2
200312,69.6,-0.1
200412,69.8,0.1
200512,69.6,-0.1
200612,70.5,0.8
200712,69.1,-0.6
200812,70.1,0.4
200912,69.8,0.1
201012,67.9,-1.8
201112,68.1,-1.6
201212,69.6,-0.1
201312,70.3,0.6
201412,72.4,2.7
201512,72.2,2.5
201612,71.4,1.7
201712,71.4,1.7
201812,70.8,1.1
201912,69.4,-0.3
202012,71.6,1.9
202112,69.6,-0.1
202212,72.2,2.5
202312,68.5,-1.2
