New York (Central Park), New York January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
189512,45.1,-3.7
189612,45.7,-3.1
189712,45.8,-3.0
189812,47.7,-1.1
189912,46.2,-2.6
190012,46.0,-2.8
190112,45.1,-3.7
190212,45.5,-3.3
190312,45.5,-3.3
190412,42.2,-6.6
190512,44.5,-4.3
190612,46.2,-2.6
190712,44.0,-4.8
190812,46.4,-2.4
190912,45.1,-3.7
191012,45.0,-3.8
191112,46.2,-2.6
191212,44.9,-3.9
191312,46.9,-1.9
191412,43.9,-4.9
191512,45.7,-3.1
191612,44.6,-4.2
191712,43.1,-5.7
191812,45.1,-3.7
191912,46.2,-2.6
192012,44.5,-4.3
192112,47.1,-1.7
192212,46.1,-2.7
192312,45.3,-3.5
192412,44.3,-4.5
192512,45.3,-3.5
192612,43.2,-5.6
192712,45.7,-3.1
192812,46.0,-2.8
192912,46.1,-2.7
193012,46.8,-2.0
193112,48.0,-0.8
193212,47.2,-1.6
193312,46.5,-2.3
193412,44.9,-3.9
193512,45.1,-3.7
193612,45.2,-3.6
193712,46.7,-2.1
193812,47.3,-1.5
193912,46.8,-2.0
194012,44.3,-4.5
194112,46.4,-2.4
194212,46.0,-2.8
194312,45.4,-3.4
194412,46.5,-2.3
194512,46.1,-2.7
194612,46.8,-2.0
194712,45.9,-2.9
194812,46.4,-2.4
194912,48.7,-0.1
195012,45.8,-3.0
195112,47.0,-1.8
195212,48.1,-0.7
195312,49.0,0.2
195412,47.1,-1.7
195512,47.0,-1.8
195612,46.4,-2.4
195712,48.0,-0.8
195812,45.7,-3.1
195912,47.8,-1.0
196012,46.7,-2.1
196112,47.6,-1.2
196212,45.5,-3.3
196312,45.5,-3.3
196412,46.6,-2.2
196512,46.5,-2.3
196612,47.3,-1.5
196712,45.5,-3.3
196812,46.3,-2.5
196912,47.6,-1.2
197012,-99,-99
197112,48.5,-0.3
197212,47.1,-1.7
197312,49.2,0.4
197412,47.7,-1.1
197512,48.3,-0.5
197612,46.2,-2.6
197712,46.9,-1.9
197812,45.9,-2.9
197912,47.1,-1.7
198012,46.9,-1.9
198112,47.3,-1.5
198212,46.8,-2.0
198312,48.3,-0.5
198412,48.2,-0.6
198512,47.8,-1.0
198612,47.8,-1.0
198712,47.8,-1.0
198812,47.2,-1.6
198912,46.5,-2.3
199012,49.6,0.8
199112,49.4,0.6
199212,46.7,-2.1
199312,47.8,-1.0
199412,47.4,-1.4
199512,47.7,-1.1
199612,47.4,-1.4
199712,47.5,-1.3
199812,50.8,2.0
199912,49.5,0.7
200012,47.4,-1.4
200112,49.5,0.7
200212,49.5,0.7
200312,47.2,-1.6
200412,48.0,-0.8
200512,49.0,0.2
200612,50.2,1.4
200712,48.3,-0.5
200812,48.4,-0.4
200912,47.9,-0.9
201012,50.5,1.7
201112,50.1,1.3
201212,51.2,2.4
201312,49.0,0.2
201412,47.3,-1.5
201512,49.2,0.4
201612,49.8,1.0
201712,49.5,0.7
201812,49.2,0.4
201912,48.7,-0.1
202012,50.3,1.5
202112,50.1,1.3
202212,49.0,0.2
202312,51.0,2.2
